id,MEDIA_ID,MEDIA_NAME,CNT,TIME,TIMETICK(f=3328124),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,HRP,TTL0,TTL1,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME
27,0,Original_PO_Instructions,13,0.21045,1.77E+12,0.54677,0.08283,0,0.21045,1,1,0.53883,0.10593,1,0.58438,0.10645,0,,0.30687,0.95117,25.04843,1.09569,1,0.55428,0.90881,24.69873,1.09569,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
27,0,Original_PO_Instructions,29,0.46924,1.77E+12,0.32284,0.27973,0.27539,0.19385,2,1,0.16805,0.25737,1,0.58438,0.10645,0,,0.29834,0.95677,24.05829,1.074,1,0.54508,0.91277,24.38465,1.074,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,350.44238,215.12386,0
27,0,Original_PO_Instructions,57,0.92236,1.77E+12,0.15646,0.21123,0.53369,0.38867,3,1,0.18814,0.20356,1,0.6375,0.08789,0,,0.29773,0.96088,20.38341,1.04521,1,0.54477,0.91646,20.77333,1.04521,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,224.22058,161.76985,0
27,0,Original_PO_Instructions,63,1.01904,1.77E+12,0.19872,0.19997,0.93799,0.08105,4,1,0.20493,0.19421,0,0.6375,0.08789,0,,0.29755,0.95997,20.08115,1.04521,0,0.54467,0.91601,20.18965,1.03802,0,127,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,55.30801,12.03288,0
27,0,Original_PO_Instructions,89,1.43994,1.77E+12,0.43392,0.13785,1.22949,0.21045,5,1,0.48316,0.10096,1,0.6375,0.08789,0,,0.30363,0.95924,20.12855,1.11992,1,0.55048,0.91424,20.2753,1.11992,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,307.70291,11.93069,0
27,0,Original_PO_Instructions,109,1.76318,1.77E+12,0.53485,0.1357,1.45605,0.30713,6,1,0.59925,0.10905,1,0.6375,0.08789,0,,0.30389,0.96133,18.93113,1.11184,1,0.55147,0.91569,19.13464,1.11184,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,129.2092,0.97631,0
27,0,Original_PO_Instructions,127,2.0542,1.77E+12,0.57817,0.19154,1.7793,0.2749,7,1,0.49684,0.32999,1,0.6375,0.08789,0,,0.29622,0.96502,19.06014,1.09569,1,0.54338,0.91776,19.04723,1.09569,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79.65066,314.11972,0
27,0,Original_PO_Instructions,145,2.34521,1.77E+12,0.57185,0.32967,2.11914,0.22607,8,1,0.65583,0.32935,1,0.6375,0.08789,0,,0.28916,0.95583,18.82804,1.11979,1,0.53731,0.90235,18.28744,1.11175,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,141.67627,266.72668,0
27,0,Original_PO_Instructions,160,2.58789,1.77E+12,0.56039,0.35434,2.36182,0.22607,9,1,0.46929,0.35184,1,0.6375,0.08789,0,,0.28822,0.96133,19.48488,1.11184,1,0.53534,0.90572,19.79556,1.11184,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29.21208,239.85771,0
27,0,Original_PO_Instructions,174,2.81445,1.77E+12,0.35723,0.38647,2.604,0.21045,10,1,0.29028,0.41092,1,0.6375,0.08789,0,,0.27431,0.96792,20.34505,1.08846,1,0.52044,0.90801,20.4195,1.08846,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,262.11789,187.21082,0
27,0,Original_PO_Instructions,196,3.16992,1.77E+12,0.33588,0.4027,2.83057,0.33936,11,1,0.44688,0.38496,1,0.6375,0.08789,0,,0.27823,0.98156,21.13671,1.08123,1,0.52468,0.91686,21.09009,1.08123,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31.98479,211.30592,0
27,0,Original_PO_Instructions,204,3.2998,1.77E+12,0.4306,0.40597,3.18652,0.11328,12,1,0.44458,0.40502,0,0.6375,0.08789,0,,0.27745,0.9801,19.44444,1.11979,0,0.52396,0.91475,20.59311,1.12782,0,128,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,121.28777,358.418,0
27,0,Original_PO_Instructions,233,3.76855,1.77E+12,0.64853,0.40196,3.50977,0.25879,13,1,0.74168,0.38526,1,0.6375,0.08789,0,,0.28518,0.97522,20.11957,1.11992,1,0.53252,0.91331,20.29445,1.11992,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,278.98065,0.84336,0
27,0,Original_PO_Instructions,251,4.06006,1.77E+12,0.75397,0.36924,3.78467,0.27539,14,1,0.78504,0.36211,1,0.6375,0.08789,0,,0.28753,0.97067,19.87983,1.11983,1,0.53422,0.90698,20.08595,1.1118,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,139.06,13.9421,0
27,0,Original_PO_Instructions,276,4.46436,1.77E+12,0.88412,0.38026,4.07617,0.38818,15,1,0.91241,0.3961,1,0.6375,0.08789,0,,0.29493,0.96956,20.0798,1.09117,1,0.54184,0.90696,20.76175,1.09117,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,166.97368,356.12485,0
27,0,Original_PO_Instructions,289,4.6748,1.77E+12,0.7513,0.41409,4.48047,0.19434,16,1,0.12095,0.42107,1,0.6375,0.08789,0,,0.27946,0.97195,22.59736,1.08123,1,0.52404,0.90895,22.90921,1.08123,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,173.50316,191.51718,0
27,0,Original_PO_Instructions,325,5.25684,1.77E+12,0.09625,0.48093,4.73926,0.51758,17,1,0.15156,0.4516,1,0.6375,0.08789,0,,0.27611,0.9749,24.19179,1.06677,1,0.52297,0.91174,23.0534,1.06677,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,841.25287,184.66673,0
27,0,Original_PO_Instructions,331,5.35352,1.77E+12,0.13843,0.47719,5.27295,0.08057,18,1,0.13726,0.51054,0,0.6375,0.08789,0,,0.27587,0.97435,23.05722,1.09569,0,0.52244,0.91139,23.72953,1.09569,0,129,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54.12606,4.05744,0
27,0,Original_PO_Instructions,365,5.90381,1.77E+12,0.32783,0.45229,5.61279,0.29102,19,1,0.35087,0.45762,1,0.6375,0.08789,0,,0.28147,0.97302,22.88062,1.11175,1,0.52793,0.91077,23.4789,1.10372,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,243.76913,6.00396,0
27,0,Original_PO_Instructions,405,6.55078,1.77E+12,0.28582,0.47084,5.91992,0.63086,20,1,0.35527,0.44972,1,0.6375,0.08789,0,,0.28005,0.97413,23.33808,1.10377,1,0.52657,0.91194,25.02745,1.10377,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,57.02919,199.45575,0
27,0,Original_PO_Instructions,425,6.87451,1.77E+12,0.37192,0.44904,6.56689,0.30762,21,1,0.4324,0.46056,1,0.6375,0.08789,0,,0.2829,0.97207,23.93904,1.08846,1,0.52971,0.91085,25.29749,1.08846,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,112.44609,11.45064,0
27,0,Original_PO_Instructions,440,7.1167,1.77E+12,0.48919,0.43597,6.89062,0.22607,22,1,0.52048,0.44644,1,0.6375,0.08789,0,,0.28609,0.97111,24.57159,1.10377,1,0.53338,0.91037,25.88778,1.10377,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,150.7011,5.09511,0
27,0,Original_PO_Instructions,454,7.34326,1.77E+12,0.56913,0.4984,7.13281,0.21045,23,1,0.56499,1.07782,0,0.6375,0.08789,0,,0.28869,0.96952,24.04764,1.09569,0,0.53599,0.91398,10.46136,1.09569,0,130,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,120.65182,328.00415,0
27,0,Original_PO_Instructions,481,7.78027,1.77E+12,0.53017,0.44716,7.55371,0.22656,24,1,0.45663,0.40454,1,0.6375,0.08789,0,,0.28698,0.96832,23.33512,1.11184,1,0.53414,0.90774,24.48981,1.11184,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,72.38764,133.54413,0
27,0,Original_PO_Instructions,514,8.31396,1.77E+12,0.44011,0.37841,7.7959,0.51807,25,1,0.43983,0.37705,1,0.6375,0.08789,0,,0.28702,0.96815,23.79539,1.09569,1,0.53409,0.90751,24.84667,1.09569,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,135.07368,148.58742,0
27,0,Original_PO_Instructions,547,8.84766,1.77E+12,0.39428,0.31077,8.33008,0.51758,26,1,0.35093,0.28366,1,0.6375,0.08789,0,,0.28678,0.96702,24.63875,1.09569,1,0.534,0.90694,25.99142,1.09569,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,90.76727,130.26285,0
27,0,Original_PO_Instructions,569,9.20361,1.77E+12,0.34339,0.31411,8.86377,0.33984,27,1,0.26389,0.37992,1,0.6375,0.08789,0,,0.28567,0.96924,25.37722,1.074,1,0.53269,0.9096,27.0737,1.074,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,65.22892,183.00558,0
27,0,Original_PO_Instructions,585,9.46191,1.77E+12,0.27063,0.45634,9.21924,0.24268,28,1,0.27032,0.86486,0,0.6375,0.08789,0,,0.28732,0.97341,12.44576,1.09569,0,0.53463,0.91421,12.98157,1.09569,0,131,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,172.87494,237.40283,0
27,0,Original_PO_Instructions,614,9.93115,1.77E+12,0.41001,0.51282,9.67285,0.2583,29,1,0.38802,0.58156,1,0.6375,0.08789,0,,0.29282,0.97195,24.49117,1.09569,1,0.54022,0.91421,26.00212,1.09569,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,187.54677,342.03842,0
27,0,Original_PO_Instructions,632,10.22266,1.77E+12,0.3723,0.58107,9.94775,0.2749,30,1,0.25793,0.72438,1,0.6375,0.08789,0,,0.28986,0.97583,24.21973,1.128,1,0.53659,0.91781,24.47789,1.128,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,84.9365,235.36874,0
27,0,Original_PO_Instructions,651,10.52979,1.77E+12,0.28438,0.70992,10.28711,0.24268,31,1,0.28964,0.67117,0,0.6375,0.08789,0,,0.28988,0.97373,24.77507,1.09569,0,0.53767,0.91581,23.74697,1.09569,0,132,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,173.41716,229.53813,0
27,0,Original_PO_Instructions,684,11.06348,1.77E+12,0.43371,0.38595,10.73975,0.32373,32,1,0.46287,0.43596,1,0.6375,0.08789,0,,0.297,0.9674,23.8599,1.06689,1,0.54483,0.91017,23.65098,1.06689,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,382.87119,60.05065,0
27,0,Original_PO_Instructions,719,11.62939,1.77E+12,0.43051,0.58711,11.12793,0.50146,33,1,0.40278,0.56762,1,0.6375,0.08789,0,,0.27875,0.97581,23.68394,1.11992,1,0.52454,0.91409,24.42314,1.11992,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,206.02855,268.86084,0
27,0,Original_PO_Instructions,732,11.83984,1.77E+12,0.32338,0.66362,11.69385,0.146,34,1,0.32177,0.67417,0,0.6375,0.08789,0,,0.27659,0.96576,23.74295,1.09569,0,0.5224,0.90558,23.70713,1.09569,0,133,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,157.92969,209.7412,0
